title,description,country,subscriberCount
Jarow,"Hey, ich bin Julian und auf meinem Kanal findest du spannende, mysteriöse und lustige Videos! Die Welt ist böse, passt auf euch auf! 

Postadresse:
SocialLight Management
Lindenstr. 14
50674 Köln


Impressum:
ReachHero GmbH
Greifswalder Straße 208
10405 Berlin

Telefonnummer: 030.2084989.82
Fax: 030.2084989.89

Inhaltlicher Verantwortlicher: Julian Hannes 
Email: julianschizophrenicblog@gmail.com

Amtsgericht Berlin HRB 162985 B | Steuernummer: 30/042/78611
Ust.-Id-Nr. DE298146738",DE,1905328
"Sallys Welt","Ich backe und koche leidenschaftlich gerne und möchte hier auf meinem Youtube-Channel meine Leidenschaft mit euch teilen ♥ Ich selbst bin Grundschullehrerin und habe keine Koch-,Back- oder Konditorausbildung und habe mir alles selbst durch Übung und Experimentieren beigebracht :) 

Auf meinem Blog könnt ihr meine Rezepte nachlesen. In meinem Shop könnt ihr die Produkte erhalten, die ich euch hier vorstelle. 

Ich freue mich über jedes Abo, jede Bewertung und jeden Kommentar bei Youtube. Das Ganze ist und bleibt natürlich kostenfrei ♥

www.sallyswelt.de

ramershoven.com

https://sallys-shop.de/impressum/

Sallys Shop GmbH & Co. KG
Lindenhofplatz 11
78727 Oberndorf am Neckar 
Deutschland

E-Mail: info@sallys-shop.de
Geschäftsführer: Frau Saliha Özcan , Herr Saban Lokman
Registernummer: HRA 732572
USt-IdNr.: DE 308 302 072",DE,1435264
Chameen,"Ich begrüße euch herzlichst auf meinem Youtube Channel. Hier werdet ihr allerlei selbstgedrehte Videos von mir finden von A-Z aus meinem Leben. Ich hoffe ihr habt Spaß am Schauen!!!

Für Autogrammwünsche bitte einen frankierten Rückumschlag beilegen.
Postfach 93 02 01 
12417 Berlin




Impressum: 
ReachHero GmbH 
Greifswalder Straße 208 
10405 Berlin
christiane@reachhero.de",DE,154664
TeamEvil,"Wir sind TeamEvil, ein Kanal aus Leidenschaft zum Fußball. Hier kommt die neuesten & heißesten Nachrichten aus der Welt unseres Lieblingssports. Ebenso Toplisten und Rankings zu deinen Lieblingsspielern. Interessierst du dich dafür? Dann lass doch ein Abo da.

Postadresse: 
SocialLight Management Lindenstr. 14 
50674 Köln 

Impressum: 
ReachHero GmbH 
Greifswalder Straße 208 
10405 Berlin 
Telefonnummer: 030.2084989.82 
Fax: 030.2084989.89

Inhaltlicher Verantwortlicher: Paul Schuch 
Email: teamevilbusiness@gmail.com

Amtsgericht Berlin HRB 162985 B | Steuernummer: 30/042/78611 Ust.-Id-Nr. DE298146738",DE,228147
Filmlounge,"Willkommen in der Filmlounge. Hier zeige ich Euch Reviews, Trailer & Clips, außerdem treffe ich für Euch Stars zum Interview, besuche Sets und produziere andere Specials. In den restlichen Formaten wie „Filmfakten“ und „I heart Film“ zeige ich Euch noch mehr, was das Euer Herz begehrt. Die  Formate „Top Ten“ und „Couchflix“ produziere ich zusammen mit der Telekom Deutschland.    
 
Schreibt mir wie es Euch gefällt und Eure Wünsche für´s Programm.

Impressum:
info@tubelounge.tv
Tubelounge GmbH
Ubierring 61a
50678 Köln",DE,90879
"Promi Big Brother","Jedes Jahr aufs Neue beziehen berühmte Bewohner das ""Promi Big Brother""-Haus. Und auch in diesem Sommer ist es wieder soweit: Am 11. August 2017 kommt Leben ins Haus – und mit den Bewohnern sicherlich auch eine Menge Spaß, Zoff und Drama. Wer die Promi Big Brother-Teilnehmer 2017 sind? Mehr Infos gibt es auf www.promibigbrother.de

Impressum:
http://www.studio71.com/impressum/",DE,110824
"Anika Teller","Willkommen auf meinem Kanal. 🙋🏼

Ich bin 23 Jahre alt und komme aus dem wunderschönen München, wohne aber mittlerweile in Köln. ☺️ Ich habe super viel Spaß am Videos machen und hoffe, dass ich euch damit unterhalten und ein Lächeln ins Gesicht zaubern kann.

Was für Videos könnt ihr erwarten? - Ich werde mich an Schmink Tutorials versuchen und mich meiner großen Leidenschaft der Mode widmen. 

Ich freue mich auf jeden Fall über alle eure Kommentare und jeden neuen Abonnenten. ❤️

Also ganz ganz viel Spaß 
Anika 😘

INSTAGRAM: https://www.instagram.com/anikateller 
TWITTER: https://www.twitter.com/anikateller 
SNAPCHAT: anikateller

Impressum:
ReachHero GmbH
Greifswalder Straße 208
10405 Berlin

Geschäftliche Anfragen: management@anikateller.com",DE,79303
"Shirin Gosh","Impressum:
ReachHero GmbH
Greifswalder Str. 208 
10405 Berlin

Kontakt (nur für Firmen):
shirin-gosh@web.de",DE,82207
"Sonny Loops","SONNY, 22 Jahre, Berlin!

Naaaaaaa :D ❤
Vorneweg: Ich filme mit der Sony Alpha 5100, falls es jemanden interessiert hier, haha.
Ich freu mich, dass du auf meinen Kanal gestoßen bist und hoffe, dass du hier eine Weile bleibst :P
Wenn nicht, gibts haue. 
Tschuuuuss .

❤ FOLGT MIR AUCH HIER:

INSTAGRAM: @sonnyloops
TWITTER: sonnyloops
MUSICAL.LY: sonnyloops_
FACEBOOK: Sonny Loops
SNAPCHAT: sonnyloops

für geschäftliche Anfragen: sonnyloops@web.de

IMPRESSUM: 
Sonny loops
NoHype GmbH 
Lindenstraße 19
50674 Köln

Sonny Loops ist Teilnehmer des Partnerprogramms von Amazon EU, das zur Bereitstellung eines Mediums für Websites konzipiert wurde, mittels dessen durch die Platzierung von Werbeanzeigen und Links zu Amazon.de",DE,577193
"Sarah Mangione","Die kleine Sarah entdeckt die große weite YouTube-Welt.





Für eine Autogrammkarte sendet einfach einen vorfrankierten Umschlag an: 

ravenrocker GmbH
z.Hd. Sarah Mangione 
Im Ferkulum 4 
50678 Köln

An diese Adresse kann auch gerne eure Post an mich gehen (⁎⚈᷀᷁ᴗ⚈᷀᷁⁎)

(Geschäftliche Anfragen bitte über 0 221 / 989 484 0  / agentur@ravenrocker.de)

Besucht mich auch auf Facebook, Instagram 
und Twitter ✌(◕‿-)✌

Fühlt euch digital umarmt ihr tollen kleinen Dinos,
die Sarah

____________________________________________________________________________

Goldiger Mensch der die Kamera und den Schnitt perfekt und mit viel Liebe beherrscht:
Lennart Schinke (http://www.primest-film.com)",DE,51020
