title,description,country,subscriberCount
"Naomi Jon","i'm cute n blue

Impressum:

Kontaktadresse/Business Inquiries: 
Naomi Jonzeck 
c/o B W M Communications 
Rosenstraße 32 
50678 Köln 
www.bwm-com.com 

Business Mail: Naomijon@gmx.de",DE,688162
"Jennifer Czeczor","Meine Sozialen Netzwerke:

Youtube: https://www.youtube.com/channel/UCKTLWOE1JHC6rhnjw_Xx1Hw?view_as=subscriber
Instagram: @jenniferczeczor  http://instagram.com/jenniferczeczor

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


Postadresse:
Call Of Beauty UG (haftungsbeschränkt)
Lindenstr. 19
50674 Köln

Impressum:
Jennifer Czeczor
c/o
Call of Beauty UG (haftungsbeschränkt)
Lindenstr. 19
50674 Köln

E-mail: jennifer@call-of-beauty.com",DE,24413
"Mama Co","Hallo! 

Herzlich Willkommen auf meinem Kanal! 

Hier geht es um Beauty, Fashion, Hauls, Make-up Tutorials, Reviews zu Produkten, Aufgebrauchtes, FMA´s,  Vlogs  und vieles mehr! 

Sieh Dir meinen Kanaltrailer an! 
                                   
⚫️ NEUE geschäftliche E-Mail für Kooperationsanfragen: 
mamacobeauty@t-online.de

Besucht mich auf Instagram: http://instagram.com/mamacobeauty
Facebook: facebook.com/Mamacobeauty
Google+google.com/+MamaCo
oder auch gerne bei SNAPCHAT: Mamacobeauty


Hier geht es zu meinem zweiten Kanal ""More Mamaco"" : https://www.youtube.com/c/MoreMamaco?gvnc=1

**Ich bin Teilnehmer des Affiliate Programms von Amazon EU und USA , das zur Bereitstellung eines Mediums für Websites erstellt wurde, mittels dessen durch die Produktplatzierung von Werbeanzeigen und links zu amazon.de /amazon.com verdient werden kann.",DE,60274
xSannyKaur,"Willkommen auf meinem Kanal! ♥️ 

Mein Name ist Sanny Kaur. Ich bin 23 Jahre als und liebe alles zum Thema Beauty. Ich drehe unglaublich gerne Make Up Tutorials und will euch all die Tipps & Tricks, die ich kenne, weitergeben. Es geht in meinen Videos nicht nur um Produkte und Schminke. Ich will meine Reichweite nutzen & aussprechen, wenn mich etwas beschäftigt. YouTube ist und bleibt ein großer Teil meines Lebens. Auf meinem Kanal kannst du sehen, wie ich groß werde. Und jede Erfahrung, die ich teilen kann, werde ich teilen. 
Meine Community bedeutet mir sehr viel. Ihr gibt mir so viel Kraft & Motivation. Ich will euch mit meinen Videos zum Lachen bringen und euch ermutigen neue Sachen auszuprobieren. Am Ende des Tages kann man Make Up entfernen & wir zeigen uns ungeschminkt. ♥️ 

Ich freu mich auf euch! 
- Eure Sanny",DE,379048
"Aylin Melisa","Hi Sugarpies!

My Name is Aylin and I'm from Munich, Germany. I'm not a professional MUA or something like that. It's just my passion to doing my Makeup and record it for you guys. THIS CHANNEL IS ALL ABOUT MAKEUP!

Love love love love,
Aylin",DE,480685
"Luisa Crashion","#crashers
▶︎ Jeden Dienstag, Donnerstag & Sonntag NEUE VIDEOS :) Schalte doch ein!

Mich findest du auch hier: 
► https://instagram.com/luisacrashion/

►BUSINESS ENQUIRIES / GESCHÄFTLICHE ANFRAGEN:
Luisa_Russo@hotmail.de

Luisa Crashion ist Teilnehmer des Partnerprogramms von Amazon EU, das zur Bereitstellung eines Mediums für Websites konzipiert wurde, mittels dessen durch die Platzierung von Werbeanzeigen und Links zu Amazon.de Werbekostenerstattung verdient werden kann. (Falls sogenannte Affiliate Links in den Videobeschreibungen zum Einsatz kommen, sind diese jeweils explizit als solche gekennzeichnet. Ich nehme nicht als YouTuber an dem Partnerprogramm teil, sondern als ganz normale Person.

Impressum:

Luisa Crashion
ReachHero GmbH
Greifswalder Straße 208 
10405 Berlin",DE,337793
"DAILY DE LA CRUZ","Hallo meine Lieben Besucher meines  Kanals Daily de la Cruz

Wie schön dich hier zu sehen :)
Auf meinem Kanal wirst du jeden Mittwoch und Sonntag ein neues Video finden und wir freuen uns auch eine tolle Zeit mit euch.
Ich hoffe auch Ihr habt Spaß dabei und würde uns über deinABO sehr freuen.

Nur für Business Anfragen:
tanjacruz@gmx.de


Impressum:

ReachHero GmBH
Greifswalder Straße 208
10405 Berlin",DE,69303
"Lea-Sophie Ernst","Hey meine Hübschen
Ich bin Lea! Bei mir findet ihr alle rund um Beauty/Fashion und Lifestyle
Mindestens jeden  Montag um 10 Uhr kommt ein neues Video von mir online, lasst euch überraschen;-*
-
 Schreibt mir gerne Videowünsche und Kritik, aber nur konstruktive ;)
-
Kontakt für Kooperationen, PR und Business ( bitte nur geschäftliche Anfragen!): l-s-ernst@web.de
Andere Anfragen über Instagram (leasophiee_YT),  Snapchat (leasophiee_YT) oder Oldschool per Youtube Kommentar!
-
Ich würde mich riesig freuen, wenn du ein Teil meiner Community wirst :)
1000 Abos: 27.April 2016
2000 Abos: 10.Juli 2016
3000 Abos: 22. September 2016
4000 Abos: 20. Oktober 2016
 

Liebe Grüße und viel Spaß auf  meinem Kanal!
Lea
 
IMPRESSUM: 
alle Inhalte gehören Lea-Sophie Ernst
ADRESSE: Auf Anfrage TELEFON: Auf Anfrage
And subscribe to my channel!",DE,9841
"Bella Kraus","Hellooo und herzlich Willkommen auf meinem Kanal!

Instagram: @isabel_kraus
Facebook: Bella Kraus
Twitter:      @Bellarei

POSTFACH

Isabel Kraus
894702397
Postfach 124
73033 Göppingen

------------------------------------------------------------------------------------------------------
Email nur für geschäftliche Anfragen/ Business Enquiries:

bellalash1990@gmail.com",DE,193187
"More Mamaco","Mein Hauptkanal: https://www.youtube.com/user/mamacobeauty

Dies ist mein zweiter Kanal, 
hier wird es kurze "" shorty "" Videos von mir geben, wie zB. Make-up of the day, Swatches zu einzelnen Produkten, Outfits of the Day und kleine Vlogs, 
alles was mir spontan einfällt und ich mit Euch teilen möchte! 

Diese Videos werden alle mit meinem Handy gefilmt und auch von dort hochgeladen, 
das macht es aktuell und schnell ;) 
Dadurch kann es passieren, dass die Infobox erst später gefüllt wird mit genaueren Angaben, also habt Geduld, ich werde es dann nachtragen. 

Wenn ihr etwas bestimmtes sehen wollt, lasst es mich gerne wissen! 

xoxo 
Mamaco


**Ich bin Teilnehmer des Affiliate Programms von Amazon EU und USA , das zur Bereitstellung eines Mediums für Websites erstellt wurde, mittels dessen durch die Produktplatzierung von Werbeanzeigen und links zu amazon.de /amazon.com verdient werden kann.",DE,12292
